"filename", "language", "JSON with Comments", "TypeScript", "YAML", "JavaScript", "JSON", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Proyectos\game-proyects\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 15, 161
"c:\Proyectos\game-proyects\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Proyectos\game-proyects\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 125, 0, 16, 141
"c:\Proyectos\game-proyects\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 697, 12, 55, 764
"c:\Proyectos\game-proyects\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Proyectos\game-proyects\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 5, 29
"c:\Proyectos\game-proyects\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 6, 32
"c:\Proyectos\game-proyects\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 5, 30
"c:\Proyectos\game-proyects\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 11, 118
"c:\Proyectos\game-proyects\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 8, 56
"c:\Proyectos\game-proyects\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"c:\Proyectos\game-proyects\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 14, 130
"c:\Proyectos\game-proyects\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 4, 36
"c:\Proyectos\game-proyects\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 10, 62
"c:\Proyectos\game-proyects\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 7, 46
"c:\Proyectos\game-proyects\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 8, 31
"c:\Proyectos\game-proyects\components\ui\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"c:\Proyectos\game-proyects\components\ui\use-toast.ts", "TypeScript", 0, 160, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Proyectos\game-proyects\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"c:\Proyectos\game-proyects\hooks\use-toast.ts", "TypeScript", 0, 160, 0, 0, 0, 0, 0, 0, 3, 32, 195
"c:\Proyectos\game-proyects\lib\data.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 2, 105
"c:\Proyectos\game-proyects\lib\types.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Proyectos\game-proyects\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Proyectos\game-proyects\next.config.mjs", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 5, 5, 52
"c:\Proyectos\game-proyects\package-lock.json", "JSON", 0, 0, 0, 0, 4640, 0, 0, 0, 0, 1, 4641
"c:\Proyectos\game-proyects\package.json", "JSON", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 70
"c:\Proyectos\game-proyects\pnpm-lock.yaml", "YAML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Proyectos\game-proyects\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"c:\Proyectos\game-proyects\public\grid-pattern.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Proyectos\game-proyects\public\placeholder-logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Proyectos\game-proyects\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Proyectos\game-proyects\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 90, 0, 0, 5, 95
"c:\Proyectos\game-proyects\tailwind.config.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 1, 3, 107
"c:\Proyectos\game-proyects\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 27, 545, 4, 48, 4731, 10, 189, 4898, 43, 745, 11240
